dataset,seed,model,instance_id,method,mode,significance,n_neighbors,merge_adjacent,rule_id,feature,condition,representative_value,p_value_guard,prediction_point,prediction_low,prediction_high,plausibility_flag,runtime_ms
scenario_a,0,logreg,24,standard,factual,0.05,3,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,3,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,3,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,3,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.05,5,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.996,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,42.23490000003949
scenario_a,0,logreg,24,guarded,factual,0.05,5,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.723,0.6666666666666666,0.625,0.75,True,42.23490000003949
scenario_a,0,logreg,24,standard,factual,0.05,5,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,5,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,5,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,5,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.05,5,True,r0,0,0 (any value),0.021284810671764944,0.755,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,30.84130000206642
scenario_a,0,logreg,24,guarded,factual,0.05,5,True,r1,1,1 (any value),0.06852700941611746,0.899,0.536480686695279,0.52,0.5555555555555556,True,30.84130000206642
scenario_a,0,logreg,24,standard,factual,0.05,5,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,5,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,5,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,5,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.05,10,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.985,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,24.606099992524832
scenario_a,0,logreg,24,guarded,factual,0.05,10,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.893,0.6666666666666666,0.625,0.75,True,24.606099992524832
scenario_a,0,logreg,24,standard,factual,0.05,10,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,10,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,10,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,10,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.05,10,True,r0,0,0 (any value),0.021284810671764944,0.693,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,31.474499992327765
scenario_a,0,logreg,24,guarded,factual,0.05,10,True,r1,1,1 (any value),0.06852700941611746,0.959,0.536480686695279,0.52,0.5555555555555556,True,31.474499992327765
scenario_a,0,logreg,24,standard,factual,0.05,10,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,10,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,10,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.05,10,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.1,3,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.957,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,23.14840001054108
scenario_a,0,logreg,24,guarded,factual,0.1,3,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.717,0.6666666666666666,0.625,0.75,True,23.14840001054108
scenario_a,0,logreg,24,standard,factual,0.1,3,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,3,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,3,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,3,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.1,3,True,r0,0,0 (any value),0.021284810671764944,0.602,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,26.00969999912195
scenario_a,0,logreg,24,guarded,factual,0.1,3,True,r1,1,1 > -1.093,0.33909447183539854,0.576,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,26.00969999912195
scenario_a,0,logreg,24,standard,factual,0.1,3,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,3,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,3,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,3,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.1,5,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.996,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,22.907700011273846
scenario_a,0,logreg,24,guarded,factual,0.1,5,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.723,0.6666666666666666,0.625,0.75,True,22.907700011273846
scenario_a,0,logreg,24,standard,factual,0.1,5,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,5,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,5,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,5,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.1,5,True,r0,0,0 (any value),0.021284810671764944,0.755,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,29.809100000420585
scenario_a,0,logreg,24,guarded,factual,0.1,5,True,r1,1,1 > -1.093,0.33909447183539854,0.755,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,29.809100000420585
scenario_a,0,logreg,24,standard,factual,0.1,5,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,5,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,5,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,5,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.1,10,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.985,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,24.60469998186454
scenario_a,0,logreg,24,guarded,factual,0.1,10,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.893,0.6666666666666666,0.625,0.75,True,24.60469998186454
scenario_a,0,logreg,24,standard,factual,0.1,10,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,10,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,10,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,10,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.1,10,True,r0,0,0 > -0.6995,0.34556144413948386,0.987,0.7678571428571428,0.7441860465116279,0.8461538461538461,True,32.229899981757626
scenario_a,0,logreg,24,guarded,factual,0.1,10,True,r1,1,1 > -1.093,0.33909447183539854,0.822,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,32.229899981757626
scenario_a,0,logreg,24,standard,factual,0.1,10,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,10,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,10,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.1,10,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.2,3,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.957,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,29.395899997325614
scenario_a,0,logreg,24,guarded,factual,0.2,3,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.717,0.6666666666666666,0.625,0.75,True,29.395899997325614
scenario_a,0,logreg,24,standard,factual,0.2,3,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,3,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,3,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,3,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.2,3,True,r0,0,0 (any value),0.021284810671764944,0.602,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,32.54439999000169
scenario_a,0,logreg,24,standard,factual,0.2,3,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,3,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
